name,full_name,owner.login,stargazers_count,forks_count,open_issues_count,language,created_at,updated_at,license.name,html_url,repo_age_days,stars_forks_ratio
new-pac,Alvin9999/new-pac,Alvin9999,72835,10653,448,Python,2016-03-23 08:43:36+00:00,2025-12-14 21:02:19+00:00,No License,https://github.com/Alvin9999/new-pac,3553,6.837041209049094
PayloadsAllTheThings,swisskyrepo/PayloadsAllTheThings,swisskyrepo,72295,16326,15,Python,2016-10-18 07:29:07+00:00,2025-12-14 20:37:26+00:00,MIT License,https://github.com/swisskyrepo/PayloadsAllTheThings,3344,4.428212666911675
screenshot-to-code,abi/screenshot-to-code,abi,71262,8804,133,Python,2023-11-14 17:53:32+00:00,2025-12-14 16:08:06+00:00,MIT License,https://github.com/abi/screenshot-to-code,761,8.09427532939573
awesome-machine-learning,josephmisiti/awesome-machine-learning,josephmisiti,70962,15201,21,Python,2014-07-15 19:11:19+00:00,2025-12-14 20:04:14+00:00,Other,https://github.com/josephmisiti/awesome-machine-learning,4170,4.668245510163805
sherlock,sherlock-project/sherlock,sherlock-project,70922,8358,179,Python,2018-12-24 14:30:48+00:00,2025-12-14 20:56:44+00:00,MIT License,https://github.com/sherlock-project/sherlock,2547,8.485522852357024
flask,pallets/flask,pallets,70921,16650,12,Python,2010-04-06 11:11:59+00:00,2025-12-14 20:09:20+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/pallets/flask,5731,4.25951951951952
cpython,python/cpython,python,70303,33667,9244,Python,2017-02-10 19:23:51+00:00,2025-12-14 20:42:20+00:00,Other,https://github.com/python/cpython,3229,2.088187245670835
ragflow,infiniflow/ragflow,infiniflow,69804,7566,2977,Python,2023-12-12 06:13:13+00:00,2025-12-14 20:56:08+00:00,Apache License 2.0,https://github.com/infiniflow/ragflow,733,9.226011102299761
gpt_academic,binary-husky/gpt_academic,binary-husky,69801,8402,293,Python,2023-03-20 09:05:13+00:00,2025-12-14 15:31:48+00:00,GNU General Public License v3.0,https://github.com/binary-husky/gpt_academic,1000,8.307664841704357
ansible,ansible/ansible,ansible,67316,24161,886,Python,2012-03-06 14:58:02+00:00,2025-12-14 20:06:16+00:00,GNU General Public License v3.0,https://github.com/ansible/ansible,5031,2.7861429576590373
PaddleOCR,PaddlePaddle/PaddleOCR,PaddlePaddle,66264,9500,261,Python,2020-05-08 10:38:16+00:00,2025-12-14 20:46:50+00:00,Apache License 2.0,https://github.com/PaddlePaddle/PaddleOCR,2046,6.975157894736842
OpenHands,OpenHands/OpenHands,OpenHands,65659,8058,220,Python,2024-03-13 03:33:31+00:00,2025-12-14 19:09:03+00:00,Other,https://github.com/OpenHands/OpenHands,641,8.148299826259617
gpt4free,xtekky/gpt4free,xtekky,65636,13687,12,Python,2023-03-29 17:00:43+00:00,2025-12-14 20:41:24+00:00,GNU General Public License v3.0,https://github.com/xtekky/gpt4free,991,4.795499378972748
vllm,vllm-project/vllm,vllm-project,65378,11953,3121,Python,2023-02-09 11:23:20+00:00,2025-12-14 20:55:13+00:00,Apache License 2.0,https://github.com/vllm-project/vllm,1039,5.469589224462478
annotated_deep_learning_paper_implementations,labmlai/annotated_deep_learning_paper_implementations,labmlai,64785,6556,27,Python,2020-08-25 02:29:34+00:00,2025-12-14 20:22:15+00:00,MIT License,https://github.com/labmlai/annotated_deep_learning_paper_implementations,1937,9.881787675411836
scikit-learn,scikit-learn/scikit-learn,scikit-learn,64287,26506,2121,Python,2010-08-17 09:43:38+00:00,2025-12-14 19:16:15+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/scikit-learn/scikit-learn,5598,2.425375386704897
LLaMA-Factory,hiyouga/LLaMA-Factory,hiyouga,63939,7741,818,Python,2023-05-28 10:09:12+00:00,2025-12-14 18:54:43+00:00,Apache License 2.0,https://github.com/hiyouga/LLaMA-Factory,931,8.259785557421521
keras,keras-team/keras,keras-team,63634,19650,257,Python,2015-03-28 00:35:42+00:00,2025-12-14 10:05:46+00:00,Apache License 2.0,https://github.com/keras-team/keras,3914,3.2383715012722645
localstack,localstack/localstack,localstack,63618,4466,353,Python,2016-10-25 23:48:03+00:00,2025-12-14 20:55:28+00:00,Other,https://github.com/localstack/localstack,3336,14.244961934617107
open-interpreter,openinterpreter/open-interpreter,openinterpreter,61073,5237,283,Python,2023-07-14 07:10:44+00:00,2025-12-14 18:54:54+00:00,GNU Affero General Public License v3.0,https://github.com/openinterpreter/open-interpreter,884,11.661829291579147
