name,full_name,owner.login,stargazers_count,forks_count,open_issues_count,language,created_at,updated_at,license.name,html_url,repo_age_days,stars_forks_ratio,popularity_level
d2l-zh,d2l-ai/d2l-zh,d2l-ai,74408,12024,120,Python,2017-08-23 04:40:24+00:00,2025-12-16 10:01:46+00:00,Apache License 2.0,https://github.com/d2l-ai/d2l-zh,3037,6.188290086493679,Very High
browser-use,browser-use/browser-use,browser-use,73758,8823,174,Python,2024-10-31 16:00:56+00:00,2025-12-16 10:36:49+00:00,MIT License,https://github.com/browser-use/browser-use,410,8.359741584495069,Very High
new-pac,Alvin9999/new-pac,Alvin9999,72932,10657,451,Python,2016-03-23 08:43:36+00:00,2025-12-16 10:36:36+00:00,No License,https://github.com/Alvin9999/new-pac,3555,6.843576991648682,Very High
PayloadsAllTheThings,swisskyrepo/PayloadsAllTheThings,swisskyrepo,72325,16329,15,Python,2016-10-18 07:29:07+00:00,2025-12-16 10:06:20+00:00,MIT License,https://github.com/swisskyrepo/PayloadsAllTheThings,3346,4.4292363280053895,Very High
screenshot-to-code,abi/screenshot-to-code,abi,71267,8806,134,Python,2023-11-14 17:53:32+00:00,2025-12-16 10:39:57+00:00,MIT License,https://github.com/abi/screenshot-to-code,762,8.093004769475357,Very High
awesome-machine-learning,josephmisiti/awesome-machine-learning,josephmisiti,70975,15201,21,Python,2014-07-15 19:11:19+00:00,2025-12-16 07:47:32+00:00,Other,https://github.com/josephmisiti/awesome-machine-learning,4171,4.669100717058089,Very High
sherlock,sherlock-project/sherlock,sherlock-project,70945,8364,179,Python,2018-12-24 14:30:48+00:00,2025-12-16 10:16:28+00:00,MIT License,https://github.com/sherlock-project/sherlock,2548,8.48218555714969,Very High
flask,pallets/flask,pallets,70926,16653,13,Python,2010-04-06 11:11:59+00:00,2025-12-16 08:35:36+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/pallets/flask,5732,4.25905242298685,Very High
cpython,python/cpython,python,70329,33686,9246,Python,2017-02-10 19:23:51+00:00,2025-12-16 10:35:57+00:00,Other,https://github.com/python/cpython,3230,2.0877812741198123,Very High
ragflow,infiniflow/ragflow,infiniflow,69899,7579,2961,Python,2023-12-12 06:13:13+00:00,2025-12-16 10:15:15+00:00,Apache License 2.0,https://github.com/infiniflow/ragflow,735,9.222720675550864,Very High
gpt_academic,binary-husky/gpt_academic,binary-husky,69815,8402,293,Python,2023-03-20 09:05:13+00:00,2025-12-16 09:11:42+00:00,GNU General Public License v3.0,https://github.com/binary-husky/gpt_academic,1002,8.309331111640086,Very High
ansible,ansible/ansible,ansible,67333,24181,885,Python,2012-03-06 14:58:02+00:00,2025-12-16 10:32:53+00:00,GNU General Public License v3.0,https://github.com/ansible/ansible,5032,2.7845415822339854,Very High
PaddleOCR,PaddlePaddle/PaddleOCR,PaddlePaddle,66358,9507,268,Python,2020-05-08 10:38:16+00:00,2025-12-16 10:30:46+00:00,Apache License 2.0,https://github.com/PaddlePaddle/PaddleOCR,2048,6.9799095403386975,Very High
OpenHands,OpenHands/OpenHands,OpenHands,65703,8065,216,Python,2024-03-13 03:33:31+00:00,2025-12-16 10:38:32+00:00,Other,https://github.com/OpenHands/OpenHands,643,8.14668319900806,Very High
gpt4free,xtekky/gpt4free,xtekky,65633,13686,12,Python,2023-03-29 17:00:43+00:00,2025-12-16 10:09:08+00:00,GNU General Public License v3.0,https://github.com/xtekky/gpt4free,992,4.795630571386819,Very High
vllm,vllm-project/vllm,vllm-project,65529,11995,3137,Python,2023-02-09 11:23:20+00:00,2025-12-16 10:13:52+00:00,Apache License 2.0,https://github.com/vllm-project/vllm,1040,5.463026260942059,Very High
annotated_deep_learning_paper_implementations,labmlai/annotated_deep_learning_paper_implementations,labmlai,64802,6558,27,Python,2020-08-25 02:29:34+00:00,2025-12-16 09:17:26+00:00,MIT License,https://github.com/labmlai/annotated_deep_learning_paper_implementations,1939,9.88136627020433,Very High
scikit-learn,scikit-learn/scikit-learn,scikit-learn,64298,26506,2121,Python,2010-08-17 09:43:38+00:00,2025-12-16 09:56:11+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/scikit-learn/scikit-learn,5600,2.42579038708217,Very High
LLaMA-Factory,hiyouga/LLaMA-Factory,hiyouga,64040,7762,820,Python,2023-05-28 10:09:12+00:00,2025-12-16 09:49:44+00:00,Apache License 2.0,https://github.com/hiyouga/LLaMA-Factory,933,8.250450914712703,Very High
localstack,localstack/localstack,localstack,63647,4465,346,Python,2016-10-25 23:48:03+00:00,2025-12-16 09:29:47+00:00,Other,https://github.com/localstack/localstack,3338,14.25464725643897,Very High
keras,keras-team/keras,keras-team,63642,19648,252,Python,2015-03-28 00:35:42+00:00,2025-12-16 09:13:49+00:00,Apache License 2.0,https://github.com/keras-team/keras,3916,3.239108306188925,Very High
open-interpreter,openinterpreter/open-interpreter,openinterpreter,61095,5239,283,Python,2023-07-14 07:10:44+00:00,2025-12-16 10:23:11+00:00,GNU Affero General Public License v3.0,https://github.com/openinterpreter/open-interpreter,886,11.66157663676274,Very High
